plant.species,sugar,from
Agastache rugosa,49.16666667,Filipiak 2022
Allium cepa,57.32705882,Filipiak 2022
Asparagus officinalis,47.5,Filipiak 2022
Borago officinalis,36.97222222,Filipiak 2022
Brassica rapa,40.66896552,Filipiak 2022
Campanula glomerata,40.05,Filipiak 2022
Campanula medium,55.8,Filipiak 2022
Campanula persicifolia,47.85,Filipiak 2022
Castanea sativa,21.9,Filipiak 2022
Catalpa bignonioides,56,Filipiak 2022
Centaurea cyanus,56.86666667,Filipiak 2022
Centaurea jacea,52.5125,Filipiak 2022
Centaurea montana,61.36666667,Filipiak 2022
Centaurea scabiosa,55.53333333,Filipiak 2022
Coriandrum sativum,47.86666667,Filipiak 2022
Digitalis purpurea,32.03333333,Filipiak 2022
Dipsacus fullonum,51.45,Filipiak 2022
Echium vulgare,41.17,Filipiak 2022
Hyssopus officinalis,45.56666667,Filipiak 2022
Impatiens glandulifera,60.15,Filipiak 2022
Lamium maculatum,41.48,Filipiak 2022
Lavandula angustifolia,43.875,Filipiak 2022
Linaria vulgaris,39,Filipiak 2022
Lotus corniculatus,26.25789474,Filipiak 2022
Lythrum salicaria,64.45,Filipiak 2022
Malva sylvestris,48.3,Filipiak 2022
Medicago sativa,63.5,Filipiak 2022
Melampyrum arvense,30,Filipiak 2022
Melilotus albus,50.44,Filipiak 2022
Melissa officinalis,27.2,Filipiak 2022
Nepeta cataria,56.83333333,Filipiak 2022
Onobrychis viciifolia,39.525,Filipiak 2022
Origanum vulgare,69.38,Filipiak 2022
Phacelia tanacetifolia,28.90769231,Filipiak 2022
Prunella vulgaris,46.46666667,Filipiak 2022
Reseda lutea,61.16666667,Filipiak 2022
Robinia pseudoacacia,46.36666667,Filipiak 2022
Rubus idaeus,47.27608696,Filipiak 2022
Salvia pratensis,67,Filipiak 2022
Sedum acre,70,Filipiak 2022
Sedum album,70,Filipiak 2022
Sinapis arvensis,64.48,Filipiak 2022
Taraxacum officinale,37.25833333,Filipiak 2022
Teucrium chamaedrys,61.02,Filipiak 2022
Tilia platyphyllos,27.52857143,Filipiak 2022
Tilia tomentosa,25.9,Filipiak 2022
Trifolium hybridum,48.26,Filipiak 2022
Trifolium pratense,45.81712329,Filipiak 2022
Trifolium repens,44.5875,Filipiak 2022
Veronica spicata,40,Filipiak 2022
Vicia cracca,28,Filipiak 2022
Vicia sativa,44,Filipiak 2022
Vicia sepium,56,Filipiak 2022
Vitex negundo,48.83333333,Filipiak 2022
